DATE,TIME,BOROUGH,ZIP.CODE,LATITUDE,LONGITUDE,LOCATION,ON.STREET.NAME,CROSS.STREET.NAME,OFF.STREET.NAME,NUMBER.OF.PERSONS.INJURED,NUMBER.OF.PERSONS.KILLED,NUMBER.OF.PEDESTRIANS.INJURED,NUMBER.OF.PEDESTRIANS.KILLED,NUMBER.OF.CYCLIST.INJURED,NUMBER.OF.CYCLIST.KILLED,NUMBER.OF.MOTORIST.INJURED,NUMBER.OF.MOTORIST.KILLED,CONTRIBUTING.FACTOR.VEHICLE.1,CONTRIBUTING.FACTOR.VEHICLE.2,CONTRIBUTING.FACTOR.VEHICLE.3,CONTRIBUTING.FACTOR.VEHICLE.4,CONTRIBUTING.FACTOR.VEHICLE.5,UNIQUE.KEY,VEHICLE.TYPE.CODE.1,VEHICLE.TYPE.CODE.2,VEHICLE.TYPE.CODE.3,VEHICLE.TYPE.CODE.4,VEHICLE.TYPE.CODE.5,SLOWZONE,SPEED_HUMP,SIGNAL_TIMING,BIKE_PRIORITY,ENHANCED_CROSSING,LEAD_PEDESTRIAN_INTERVAL,LEFT_TURN_TRAFFIC_CALMING,NEIGHBORHOOD_SLOW_ZONE,SAFE_STREETS_FOR_SENIORS,SIP_INTERSECTIONS,SAFE_CORRIDORS,PRIORITY_CORRIDORS,PRIORITY_INTERSECTIONS,PRIORITY_ZONES,VZ,YEAR,MONTH,DAY_OF_WEEK,NBR_VZ_INITIATIVES,EPSILON,SAMPLES
2017-05-12,18:20,,,40.773327,-73.76503000000002,"(40.773327, -73.76503)",,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,Unspecified,,,3668584,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,5,4,0,0.2,20
2013-01-28,10:22,BRONX,10460.0,40.8445458,-73.8853005,"(40.8445458, -73.8853005)",SOUTHERN BOULEVARD              ,EAST 179 STREET                 ,,1,0,0,0,0,0,1,0,Driver Inexperience,Unspecified,Unspecified,,,100818,PASSENGER VEHICLE,UNKNOWN,UNKNOWN,,,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,2013,1,0,5,0.2,20
2014-02-26,15:45,MANHATTAN,10014.0,40.7305697,-74.0105104,"(40.7305697, -74.0105104)",WEST STREET                     ,LEROY STREET                    ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,12122,PASSENGER VEHICLE,VAN,UNKNOWN,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,2,2,0,0.2,20
2014-07-15,14:45,MANHATTAN,10024.0,40.7843523,-73.9832954,"(40.7843523, -73.9832954)",WEST 78 STREET                  ,RIVERSIDE DRIVE                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,477491,VAN,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,7,1,0,0.2,20
2017-05-25,8:20,MANHATTAN,10034.0,40.86548,-73.92411,"(40.86548, -73.92411)",,,50        VERMILYEA AVENUE              ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,3683820,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,5,3,0,0.2,20
2014-03-16,6:00,QUEENS,11419.0,40.682243,-73.8222131,"(40.682243, -73.8222131)",LEFFERTS BOULEVARD              ,109 AVENUE                      ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,306879,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,3,6,1,0.2,20
2015-09-18,19:14,,,40.8847704,-73.8158155,"(40.8847704, -73.8158155)",,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,3299486,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,9,4,0,0.2,20
2016-05-14,11:30,MANHATTAN,10002.0,40.71124879999999,-73.98445,"(40.7112488, -73.98445)",                                ,                                ,605 WATER STREET                        ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,3441933,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,5,5,0,0.2,20
2016-10-29,22:10,BRONX,10456.0,40.8242119,-73.9086262,"(40.8242119, -73.9086262)",,,3254      3 AVENUE                      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3549809,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2016,10,5,4,0.2,20
2013-10-16,23:33,BROOKLYN,11219.0,40.629974,-74.0081276,"(40.629974, -74.0081276)",65 STREET                       ,10 AVENUE                       ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,143728,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,2013,10,2,5,0.2,20
