DATE,TIME,BOROUGH,ZIP.CODE,LATITUDE,LONGITUDE,LOCATION,ON.STREET.NAME,CROSS.STREET.NAME,OFF.STREET.NAME,NUMBER.OF.PERSONS.INJURED,NUMBER.OF.PERSONS.KILLED,NUMBER.OF.PEDESTRIANS.INJURED,NUMBER.OF.PEDESTRIANS.KILLED,NUMBER.OF.CYCLIST.INJURED,NUMBER.OF.CYCLIST.KILLED,NUMBER.OF.MOTORIST.INJURED,NUMBER.OF.MOTORIST.KILLED,CONTRIBUTING.FACTOR.VEHICLE.1,CONTRIBUTING.FACTOR.VEHICLE.2,CONTRIBUTING.FACTOR.VEHICLE.3,CONTRIBUTING.FACTOR.VEHICLE.4,CONTRIBUTING.FACTOR.VEHICLE.5,UNIQUE.KEY,VEHICLE.TYPE.CODE.1,VEHICLE.TYPE.CODE.2,VEHICLE.TYPE.CODE.3,VEHICLE.TYPE.CODE.4,VEHICLE.TYPE.CODE.5,SLOWZONE,SPEED_HUMP,SIGNAL_TIMING,BIKE_PRIORITY,ENHANCED_CROSSING,LEAD_PEDESTRIAN_INTERVAL,LEFT_TURN_TRAFFIC_CALMING,NEIGHBORHOOD_SLOW_ZONE,SAFE_STREETS_FOR_SENIORS,SIP_INTERSECTIONS,SAFE_CORRIDORS,PRIORITY_CORRIDORS,PRIORITY_INTERSECTIONS,PRIORITY_ZONES,VZ,YEAR,MONTH,DAY_OF_WEEK,EPSILON,SAMPLES,NBR_VZ_INITIATIVES
2017-12-17,17:30,QUEENS,11420.0,40.682503,-73.82131,"(40.682503, -73.82131)",120 STREET                      ,109 AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3811674,SPORT UTILITY / STATION WAGON,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,12,6,0.1,10,2
2017-12-16,23:58,BRONX,10458.0,40.86386,-73.89426999999998,"(40.86386, -73.89427)",,,271       EAST KINGSBRIDGE ROAD         ,1,0,1,0,0,0,0,0,Unspecified,,,,,3813121,SPORT UTILITY / STATION WAGON,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,12,5,0.1,10,1
2018-04-22,21:15,,,40.77077,-73.91727,"(40.77077, -73.91727)",31 STREET                       ,ASTORIA BOULEVARD,,1,0,0,0,1,0,0,0,Following Too Closely,,,,,3885820,BICYCLE,,,,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2018,4,6,0.1,10,2
2017-12-06,21:30,QUEENS,11101.0,40.75114,-73.9345,"(40.75114, -73.9345)",,,30-30     NORTHERN BOULEVARD            ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3804153,PICK-UP TRUCK,BICYCLE,,,,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2017,12,2,0.1,10,4
2016-03-15,0:01,BROOKLYN,11218.0,40.6482565,-73.9713978,"(40.6482565, -73.9713978)",CONEY ISLAND AVENUE             ,CATON AVENUE                    ,                                        ,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3417260,PASSENGER VEHICLE,,,,,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,2016,3,1,0.1,10,6
2014-09-05,9:39,BROOKLYN,11221.0,40.6933158,-73.92495,"(40.6933158, -73.92495)",BUSHWICK AVENUE                 ,VANBUREN STREET                 ,,1,0,1,0,0,0,0,0,Other Vehicular,Physical Disability,,,,1019183,PASSENGER VEHICLE,,,,,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2014,9,4,0.1,10,3
2017-10-28,4:20,,,40.83001,-73.89735,"(40.83001, -73.89735)",PROSPECT AVENUE                 ,,,1,0,1,0,0,0,0,0,Unspecified,,,,,3778625,SPORT UTILITY / STATION WAGON,,,,,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,2017,10,5,0.1,10,3
2013-06-07,18:00,BRONX,10466.0,40.8884565,-73.841962,"(40.8884565, -73.841962)",BAYCHESTER AVENUE               ,EAST 233 STREET                 ,,1,0,1,0,0,0,0,0,Unspecified,,,,,97911,PASSENGER VEHICLE,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2013,6,4,0.1,10,3
2017-10-12,10:50,QUEENS,11414.0,40.66252,-73.84071,"(40.66252, -73.84071)",157 AVENUE                      ,CROSS BAY BOULEVARD,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3768185,PASSENGER VEHICLE,,,,,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2017,10,3,0.1,10,3
2014-01-21,7:52,BROOKLYN,11228.0,40.61897310000001,-74.0052266,"(40.6189731, -74.0052266)",14 AVENUE                       ,BAY RIDGE PARKWAY               ,,1,0,1,0,0,0,0,0,Unspecified,,,,,125330,UNKNOWN,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,1,1,0.1,10,0
2017-10-07,6:20,QUEENS,11368.0,40.743576,-73.862,"(40.743576, -73.862)",,,99-12     ALSTYNE AVENUE                ,1,0,1,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,3765891,SPORT UTILITY / STATION WAGON,,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2017,10,5,0.1,10,3
2017-10-02,17:55,,,40.6645,-73.88104,"(40.6645, -73.88104)",HEGEMAN AVENUE                  ,,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3762088,PASSENGER VEHICLE,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2017,10,0,0.1,10,1
2016-02-24,8:20,BROOKLYN,11209.0,40.6341535,-74.0296338,"(40.6341535, -74.0296338)",RIDGE BOULEVARD                 ,72 STREET                       ,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3394244,SPORT UTILITY / STATION WAGON,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2016,2,2,0.1,10,2
2017-09-07,9:40,MANHATTAN,10025.0,40.795975,-73.97497,"(40.795975, -73.97497)",RIVERSIDE DRIVE                 ,WEST 96 STREET,,2,0,1,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,3745826,BICYCLE,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2017,9,3,0.1,10,1
2018-01-29,5:30,BRONX,10457.0,40.84921,-73.90011,"(40.84921, -73.90011)",EAST 178 STREET                 ,WEBSTER AVENUE,,1,0,1,0,0,0,0,0,,,,,,3838348,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2018,1,0,0.1,10,2
2017-10-14,0:33,BROOKLYN,11203.0,40.644634,-73.943115,"(40.644634, -73.943115)",BROOKLYN AVENUE                 ,CORTELYOU ROAD,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3771007,SPORT UTILITY / STATION WAGON,BICYCLE,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2017,10,5,0.1,10,2
2017-08-08,17:00,STATEN ISLAND,10304.0,40.612213,-74.08796,"(40.612213, -74.08796)",,,588       RICHMOND ROAD                 ,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3728783,BICYCLE,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2017,8,1,0.1,10,2
2017-07-29,14:30,QUEENS,11420.0,40.675198,-73.81078000000002,"(40.675198, -73.81078)",127 STREET                      ,ROCKAWAY BOULEVARD,,1,0,0,0,1,0,0,0,View Obstructed/Limited,Unspecified,,,,3721275,BICYCLE,SPORT UTILITY / STATION WAGON,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2017,7,5,0.1,10,2
2017-01-06,23:30,QUEENS,11370.0,40.758648,-73.89161999999997,"(40.758648, -73.89162)",31 AVENUE                       ,76 STREET,,1,0,0,0,2,0,0,0,Reaction to Other Uninvolved Vehicle,Passing or Lane Usage Improper,,,,3600172,BICYCLE,SPORT UTILITY / STATION WAGON,,,,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,2017,1,4,0.1,10,4
2016-09-11,18:09,QUEENS,11418.0,40.7011887,-73.82476650000002,"(40.7011887, -73.8247665)",JAMAICA AVENUE                  ,126 STREET,,2,0,2,0,0,0,0,0,Glare,,,,,3517982,PASSENGER VEHICLE,,,,,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2016,9,6,0.1,10,3
2017-05-09,17:45,BRONX,10459.0,40.832695,-73.89654,"(40.832695, -73.89654)",,,1418      PROSPECT AVENUE               ,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3666657,,,,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2017,5,1,0.1,10,2
2017-04-26,9:00,BRONX,10457.0,40.84475,-73.88871,"(40.84475, -73.88871)",,,1977      PROSPECT AVENUE               ,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3658388,PASSENGER VEHICLE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,4,2,0.1,10,1
2017-04-25,16:00,BRONX,10468.0,40.872387,-73.90156,"(40.872387, -73.90156)",,,150       WEST 197 STREET               ,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3657359,SPORT UTILITY / STATION WAGON,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,4,1,0.1,10,1
2017-04-15,16:00,BROOKLYN,11208.0,40.66739000000001,-73.872345,"(40.66739, -73.872345)",,,515       FOUNTAIN AVENUE               ,1,0,1,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,3651345,SPORT UTILITY / STATION WAGON,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2017,4,5,0.1,10,1
2017-04-14,16:00,BROOKLYN,11249.0,40.71634,-73.96386,"(40.71634, -73.96386)",WYTHE AVENUE                    ,NORTH 1 STREET,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3651047,BICYCLE,SPORT UTILITY / STATION WAGON,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,4,4,0.1,10,0
2016-02-10,19:00,QUEENS,11106.0,40.7581273,-73.92850109999998,"(40.7581273, -73.9285011)",31 STREET                       ,35 AVENUE                       ,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3387646,PASSENGER VEHICLE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,2,2,0.1,10,0
2017-04-02,9:50,BROOKLYN,11231.0,40.680317,-73.996895,"(40.680317, -73.996895)",COURT STREET                    ,1 PLACE,,2,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3643750,PASSENGER VEHICLE,,,,,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2017,4,6,0.1,10,3
2017-03-31,19:15,BROOKLYN,11237.0,40.703857,-73.91851,"(40.703857, -73.91851)",WYCKOFF AVENUE                  ,STOCKHOLM STREET,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3644698,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2017,3,4,0.1,10,1
2017-03-20,17:33,BRONX,10462.0,40.85203,-73.86778000000002,"(40.85203, -73.86778)",,,2060      WHITE PLAINS ROAD             ,1,0,1,0,0,0,0,0,,,,,,3636165,,,,,,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,2017,3,0,0.1,10,3
2016-10-06,15:10,QUEENS,11385.0,40.7138108,-73.92059470000002,"(40.7138108, -73.9205947)",,,47-05     METROPOLITAN AVENUE           ,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,3535494,PICK-UP TRUCK,,,,,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,2016,10,3,0.1,10,4
2017-02-23,18:09,BRONX,10459.0,40.823124,-73.89101,"(40.823124, -73.89101)",,,957       ALDUS STREET                  ,1,0,1,0,0,0,0,0,Unspecified,,,,,3620578,SPORT UTILITY / STATION WAGON,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,2,3,0.1,10,1
