Unnamed: 0,DATE,TIME,BOROUGH,ZIP.CODE,LATITUDE,LONGITUDE,LOCATION,ON.STREET.NAME,CROSS.STREET.NAME,OFF.STREET.NAME,NUMBER.OF.PERSONS.INJURED,NUMBER.OF.PERSONS.KILLED,NUMBER.OF.PEDESTRIANS.INJURED,NUMBER.OF.PEDESTRIANS.KILLED,NUMBER.OF.CYCLIST.INJURED,NUMBER.OF.CYCLIST.KILLED,NUMBER.OF.MOTORIST.INJURED,NUMBER.OF.MOTORIST.KILLED,CONTRIBUTING.FACTOR.VEHICLE.1,CONTRIBUTING.FACTOR.VEHICLE.2,CONTRIBUTING.FACTOR.VEHICLE.3,CONTRIBUTING.FACTOR.VEHICLE.4,CONTRIBUTING.FACTOR.VEHICLE.5,UNIQUE.KEY,VEHICLE.TYPE.CODE.1,VEHICLE.TYPE.CODE.2,VEHICLE.TYPE.CODE.3,VEHICLE.TYPE.CODE.4,VEHICLE.TYPE.CODE.5,DATENew,year,month,DAY_OF_WEEK,hour,SLOWZONE,SPEED_HUMP,SIGNAL_TIMING,BIKE_PRIORITY,ENHANCED_CROSSING,LEADING_PEDESTRIAN_INTERVAL,LEFT_TURN_TRAFFIC_CALMING,NEIGHBORHOOD_SLOW_ZONE,SAFE_STREETS_FOR_SENIORS,SIP_INTERSECTIONS,SIP_CORRIDORS,PRIORITY_CORRIDORS,PRIORITY_INTERSECTIONS,PRIORITY_ZONES,NBR_VZ_INITIATIVES,TOTAL_INJURED,TOTAL_KILLED,EPSILON,SAMPLES
309853,10/17/2016,2018-03-24 12:10:00,BRONX,10451.0,40.8188104,-73.92827690000001,"(40.8188104, -73.9282769)",WALTON AVENUE                   ,EAST 149 STREET,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3542167,PASSENGER VEHICLE,,,,,2016-10-17,2016,10,0,12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0.2,60
67837,11/07/2017,2018-03-24 08:20:00,BRONX,10454.0,40.807278000000004,-73.91854000000001,"(40.807278, -73.91854)",,,529       EAST 138 STREET               ,1,0,1,0,0,0,0,0,Unspecified,,,,,3784961,TK,,,,,2017-11-07,2017,11,1,8,0,0,1,0,0,0,0,0,1,0,1,1,0,1,5,2,0,0.2,60
591627,07/19/2015,2018-03-24 15:30:00,BROOKLYN,11237.0,40.6994387,-73.91228819999999,"(40.6994387, -73.9122882)",GATES AVENUE                    ,MYRTLE AVENUE                   ,,1,0,1,0,0,0,0,0,Unspecified,,,,,3260648,SPORT UTILITY / STATION WAGON,,,,,2015-07-19,2015,7,6,15,0,0,1,1,0,0,0,0,0,0,0,1,0,1,4,2,0,0.2,60
27912,01/09/2018,2018-03-24 20:45:00,BROOKLYN,11203.0,40.656162,-73.93087,"(40.656162, -73.93087)",,,702       UTICA AVENUE                  ,1,0,1,0,0,0,0,0,Unspecified,,,,,3835353,BU,,,,,2018-01-09,2018,1,1,20,1,0,1,1,0,0,0,0,1,0,1,1,0,1,7,2,0,0.2,60
47685,12/08/2017,2018-03-24 06:00:00,MANHATTAN,10029.0,40.788998,-73.942635,"(40.788998, -73.942635)",,,325       EAST 104 STREET               ,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,3807498,PASSENGER VEHICLE,,,,,2017-12-08,2017,12,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0.2,60
197688,04/21/2017,2018-03-24 15:00:00,BROOKLYN,11235.0,40.58718,-73.95319,"(40.58718, -73.95319)",,,1536      SHEEPSHEAD BAY ROAD           ,1,0,1,0,0,0,0,0,Unspecified,,,,,3655475,PASSENGER VEHICLE,,,,,2017-04-21,2017,4,4,15,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,2,0,0.2,60
48637,12/06/2017,2018-03-24 13:14:00,BROOKLYN,11207.0,40.676505999999996,-73.89805600000001,"(40.676506, -73.898056)",,,41        SHEFFIELD AVENUE              ,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3804915,PASSENGER VEHICLE,,,,,2017-12-06,2017,12,2,13,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,2,0,0.2,60
49325,12/05/2017,2018-03-24 14:30:00,,,40.74184,-73.88101,"(40.74184, -73.88101)",45 AVENUE                       ,,,1,0,1,0,0,0,0,0,Unspecified,,,,,3805053,PASSENGER VEHICLE,,,,,2017-12-05,2017,12,1,14,0,1,0,1,0,0,0,1,1,0,1,1,1,1,8,2,0,0.2,60
568248,08/26/2015,2018-03-24 17:17:00,BROOKLYN,11209.0,40.6221237,-74.02722940000001,"(40.6221237, -74.0272294)",,,453 86 STREET                           ,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,3284709,PASSENGER VEHICLE,,,,,2015-08-26,2015,8,2,17,0,0,1,0,0,0,0,0,1,0,1,1,0,0,4,2,0,0.2,60
266350,12/23/2016,2018-03-24 16:39:00,MANHATTAN,10024.0,40.787655900000004,-73.97706170000001,"(40.7876559, -73.9770617)",BROADWAY                        ,WEST 85 STREET,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3586197,SPORT UTILITY / STATION WAGON,,,,,2016-12-23,2016,12,4,16,1,0,0,0,0,1,0,0,1,0,0,1,0,0,4,2,0,0.2,60
